import time: self [us] | cumulative | imported package
import time:        77 |         77 | winreg
import time:       169 |        169 |   _io
import time:        25 |         25 |   marshal
import time:       128 |        128 |   nt
import time:       305 |        627 | _frozen_importlib_external
import time:        69 |         69 |   time
import time:        88 |        157 | zipimport
import time:        43 |         43 |     _codecs
import time:       242 |        284 |   codecs
import time:       751 |        751 |   encodings.aliases
import time:      1238 |       2272 | encodings
import time:       316 |        316 | encodings.utf_8
import time:       500 |        500 | encodings.cp1252
import time:        50 |         50 | _signal
import time:        20 |         20 |     _abc
import time:        90 |        109 |   abc
import time:       107 |        216 | io
import time:        37 |         37 |       _stat
import time:        65 |        101 |     stat
import time:       495 |        495 |     _collections_abc
import time:        21 |         21 |       genericpath
import time:        50 |         50 |       _winapi
import time:       333 |        404 |     ntpath
import time:       196 |       1194 |   os
import time:        40 |         40 |   _sitebuiltins
import time:      2221 |       2221 |   _distutils_hack
import time:       506 |        506 |   types
import time:       427 |        427 |       warnings
import time:       366 |        793 |     importlib
import time:       420 |        420 |     importlib._abc
import time:       103 |        103 |         itertools
import time:       318 |        318 |         keyword
import time:        99 |         99 |           _operator
import time:       390 |        489 |         operator
import time:       330 |        330 |         reprlib
import time:        56 |         56 |         _collections
import time:       858 |       2152 |       collections
import time:       114 |        114 |         _functools
import time:       977 |       1090 |       functools
import time:       590 |       3831 |     contextlib
import time:       129 |       5172 |   importlib.util
import time:        56 |         56 |   importlib.machinery
import time:       888 |        888 |     pywin32_system32
import time:       923 |       1810 |   pywin32_bootstrap
import time:       305 |        305 |   sitecustomize
import time:       255 |        255 |   usercustomize
import time:     10535 |      22091 | site
import time:       509 |        509 |   src
import time:       369 |        369 |     collections.abc
import time:      1208 |       1208 |           enum
import time:       124 |        124 |             _sre
import time:       354 |        354 |               re._constants
import time:       449 |        803 |             re._parser
import time:       278 |        278 |             re._casefix
import time:       563 |       1766 |           re._compiler
import time:       341 |        341 |           copyreg
import time:      1139 |       4453 |         re
import time:       378 |        378 |         token
import time:      1512 |       6342 |       tokenize
import time:       351 |       6693 |     linecache
import time:       933 |        933 |     textwrap
import time:      1025 |       9018 |   traceback
import time:       387 |        387 |         posix
import time:        62 |        449 |       posixpath
import time:       349 |        797 |     fnmatch
import time:        55 |         55 |     errno
import time:       327 |        327 |       urllib
import time:      1856 |       2183 |     urllib.parse
import time:       894 |       3927 |   pathlib
import time:        94 |         94 |           binascii
import time:       130 |        130 |             zlib
import time:       378 |        378 |               _compression
import time:      1462 |       1462 |               _bz2
import time:       548 |       2386 |             bz2
import time:       894 |        894 |               _lzma
import time:       518 |       1412 |             lzma
import time:      1349 |       5276 |           shutil
import time:        77 |         77 |             _struct
import time:       468 |        545 |           struct
import time:       418 |        418 |             _weakrefset
import time:       763 |       1180 |           threading
import time:      1049 |       8142 |         zipfile
import time:       595 |        595 |         base64
import time:        72 |         72 |             math
import time:        39 |         39 |               _bisect
import time:       372 |        411 |             bisect
import time:        31 |         31 |             _random
import time:        25 |         25 |             _sha512
import time:       551 |       1088 |           random
import time:       646 |        646 |           weakref
import time:       596 |       2330 |         tempfile
import time:        50 |         50 |           _typing
import time:      2009 |       2059 |         typing
import time:       390 |        390 |                     numpy._utils._convertions
import time:       326 |        715 |                   numpy._utils
import time:       716 |       1431 |                 numpy._globals
import time:       347 |        347 |                 numpy.exceptions
import time:       259 |        259 |                 numpy.version
import time:        68 |         68 |                   numpy._distributor_init_local
import time:       264 |        331 |                 numpy._distributor_init
import time:       285 |        285 |                           numpy._utils._inspect
import time:       121 |        121 |                               _datetime
import time:      1766 |       1886 |                             datetime
import time:       528 |        528 |                             numpy.core._exceptions
import time:       330 |        330 |                             numpy.dtypes
import time:      3615 |       6357 |                           numpy.core._multiarray_umath
import time:       983 |       7624 |                         numpy.core.overrides
import time:       830 |       8454 |                       numpy.core.multiarray
import time:       433 |        433 |                       numpy.core.umath
import time:       663 |        663 |                         numbers
import time:       800 |        800 |                         numpy.core._string_helpers
import time:       437 |        437 |                               pickle5
import time:       503 |        503 |                                 _compat_pickle
import time:        96 |         96 |                                 _pickle
import time:       343 |        343 |                                     org
import time:        18 |        361 |                                   org.python
import time:        13 |        374 |                                 org.python.core
import time:       958 |       1929 |                               pickle
import time:       569 |       2935 |                             numpy.compat.py3k
import time:       402 |       3336 |                           numpy.compat
import time:       416 |        416 |                           numpy.core._dtype
import time:       591 |       4342 |                         numpy.core._type_aliases
import time:       525 |       6328 |                       numpy.core.numerictypes
import time:        50 |         50 |                                   _contextvars
import time:       315 |        364 |                                 contextvars
import time:       457 |        820 |                               numpy.core._ufunc_config
import time:       408 |       1228 |                             numpy.core._methods
import time:       837 |       2065 |                           numpy.core.fromnumeric
import time:       502 |       2566 |                         numpy.core.shape_base
import time:       654 |        654 |                         numpy.core.arrayprint
import time:       300 |        300 |                         numpy.core._asarray
import time:       892 |       4411 |                       numpy.core.numeric
import time:       781 |        781 |                       numpy.core.defchararray
import time:       440 |        440 |                       numpy.core.records
import time:       289 |        289 |                       numpy.core.memmap
import time:       338 |        338 |                       numpy.core.function_base
import time:       274 |        274 |                       numpy.core._machar
import time:       356 |        356 |                       numpy.core.getlimits
import time:       397 |        397 |                       numpy.core.einsumfunc
import time:       548 |        548 |                         numpy.core._multiarray_tests
import time:      1278 |       1825 |                       numpy.core._add_newdocs
import time:       467 |        467 |                       numpy.core._add_newdocs_scalars
import time:       278 |        278 |                       numpy.core._dtype_ctypes
import time:       591 |        591 |                           _ast
import time:      1119 |       1710 |                         ast
import time:      1681 |       1681 |                           _ctypes
import time:       553 |        553 |                           ctypes._endian
import time:      1009 |       3242 |                         ctypes
import time:       767 |       5718 |                       numpy.core._internal
import time:       313 |        313 |                       numpy._pytesttester
import time:       854 |      31949 |                     numpy.core
import time:        15 |      31963 |                   numpy.core._multiarray_umath
import time:       415 |      32377 |                 numpy.__config__
import time:       552 |        552 |                   numpy.lib.mixins
import time:       256 |        256 |                       numpy.lib.ufunclike
import time:       413 |        669 |                     numpy.lib.type_check
import time:       394 |       1063 |                   numpy.lib.scimath
import time:       336 |        336 |                               numpy.lib.stride_tricks
import time:       419 |        754 |                             numpy.lib.twodim_base
import time:       521 |        521 |                             numpy.linalg._umath_linalg
import time:       364 |        364 |                               __future__
import time:       481 |        481 |                               numpy._typing._nested_sequence
import time:       227 |        227 |                               numpy._typing._nbit
import time:       642 |        642 |                               numpy._typing._char_codes
import time:       404 |        404 |                               numpy._typing._scalars
import time:       308 |        308 |                               numpy._typing._shape
import time:      1059 |       1059 |                               numpy._typing._dtype_like
import time:      1408 |       1408 |                               numpy._typing._array_like
import time:       522 |       5413 |                             numpy._typing
import time:      2966 |       9652 |                           numpy.linalg.linalg
import time:       291 |       9942 |                         numpy.linalg
import time:       467 |      10409 |                       numpy.matrixlib.defmatrix
import time:       288 |      10697 |                     numpy.matrixlib
import time:       457 |        457 |                       numpy.lib.histograms
import time:      1218 |       1675 |                     numpy.lib.function_base
import time:       468 |      12838 |                   numpy.lib.index_tricks
import time:       502 |        502 |                   numpy.lib.nanfunctions
import time:       442 |        442 |                   numpy.lib.shape_base
import time:       542 |        542 |                   numpy.lib.polynomial
import time:      1827 |       1827 |                     platform
import time:       654 |       2481 |                   numpy.lib.utils
import time:       423 |        423 |                   numpy.lib.arraysetops
import time:       339 |        339 |                     numpy.lib.format
import time:       357 |        357 |                     numpy.lib._datasource
import time:       413 |        413 |                     numpy.lib._iotools
import time:       684 |       1792 |                   numpy.lib.npyio
import time:       296 |        296 |                   numpy.lib.arrayterator
